"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~"
"C1,C2,C3","3","C","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D2,D3,D4,D5","4","LED","","","","LED_THT:LED_D5.0mm","~"
"J1","1","solid","","","","Connector_PinSocket_2.00mm:PinSocket_1x03_P2.00mm_Vertical","~"
"J2","1","oled","","","","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical","~"
"J3","1","terminal","","","","Connector_PinSocket_2.00mm:PinSocket_1x02_P2.00mm_Vertical","~"
"J4","1","DTH11","","","","Connector_PinSocket_2.00mm:PinSocket_1x03_P2.00mm_Vertical","~"
"J5","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal","~"
"Q1","1","BC547","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"Q2","1","TIP122","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1,R2,R3,R4,R5,R6","6","R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1","1","ESP32-DEVKITC-32D","","","","ESP32-DEVKITC-32D:MODULE_ESP32-DEVKITC-32D",""
"U3","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
